NM_130786	A1BG
NR_015380	A1BG-AS1
NM_001370130	A1CF
NM_001370131	A1CF
NM_014576	A1CF
NM_001198818	A1CF
NM_001198819	A1CF
NM_001198820	A1CF
NM_138932	A1CF
NM_138933	A1CF
NM_000014	A2M
NM_001347423	A2M
NM_001347424	A2M
NM_001347425	A2M
NR_026971	A2M-AS1
NR_137424	A2M-AS1
NR_137425	A2M-AS1
NM_144670	A2ML1
NM_001282424	A2ML1
NR_040112	A2MP1
NM_001080438	A3GALT2
NM_001318038	A4GALT
NM_017436	A4GALT
NR_146459	A4GALT
NM_016161	A4GNT
NR_037584	AA06
NM_001173466	AAAS
NM_015665	AAAS
NM_001319839	AACS
NM_001319840	AACS
NM_023928	AACS
NR_024035	AACSP1
NR_135095	AACSP1
NM_001086	AADAC
NM_207365_2	AADACL2
NM_207365	AADACL2
NR_110202	AADACL2-AS1
NR_110203	AADACL2-AS1
NR_110203_2	AADACL2-AS1
NR_110202_2	AADACL2-AS1
NR_110203_3	AADACL2-AS1
NM_001103170	AADACL3
NR_111984	AADACL3
NM_001013630	AADACL4
NR_026915	AADACP1
NM_016228	AADAT
NM_001286682	AADAT
NM_182662	AADAT
NM_001286683	AADAT
NM_024666	AAGAB
NM_001271886	AAGAB
NM_001271885	AAGAB
NM_001371575	AAK1
NM_001371577	AAK1
NM_014911	AAK1
NM_001316960	AAMDC
NM_001316961	AAMDC
NM_001316962	AAMDC
NM_024684	AAMDC
NM_001316957	AAMDC
NM_001316958	AAMDC
NR_133637	AAMDC
NM_001363564	AAMDC
NM_001087	AAMP
NM_001302545	AAMP
NM_001166579	AANAT
NM_001088	AANAT
NR_110548	AANAT
NM_015511	AAR2
NM_001271874	AAR2
NM_001025357	AARD
NM_001605	AARS1
NM_020745	AARS2
NM_001261434	AARSD1
NM_001286669	AASDH
NM_001286671	AASDH
NM_001286668	AASDH
NM_001286670	AASDH
NM_001323890	AASDH
NM_001323892	AASDH
NM_001323893	AASDH
NM_001323899	AASDH
NM_181806	AASDH
NM_001286672	AASDH
NM_015423	AASDHPPT
NM_005763	AASS
NR_026961	AATBC
NM_012138	AATF
NM_012138_2	AATF
NM_004920	AATK
NM_001080395	AATK
NR_131907	ABALON
NM_020686	ABAT
NM_000663	ABAT
NM_001127448	ABAT
NM_005502	ABCA1
NM_080282	ABCA10
NR_002451	ABCA11P
NM_015657	ABCA12
NM_173076	ABCA12
NR_103740	ABCA12
NM_152701	ABCA13
NR_003574	ABCA17P
NM_001606	ABCA2
NM_212533	ABCA2
NM_001089	ABCA3
NM_000350	ABCA4
NM_172232	ABCA5
NM_018672	ABCA5
NM_080284	ABCA6
